RespID	Mode	TravTime	BaseCost	Gender	AgeClass	IncClass	TravTimeClass	Purpose	CardID	CostL	CostR	TimeL	TimeR	Chosen	Quadrant2	Purpose2	Mode2	Income2	ExclGroup	Exclude_CDF	CS
88	1	25	27	1	3	5	1	1	1	23	27	32	25	1	4	1	1	3	4	1	1
88	1	25	27	1	3	5	1	1	2	33	27	25	28	2	2	1	1	3	4	1	2
88	1	25	27	1	3	5	1	1	3	14	27	29	25	1	4	1	1	3	4	1	3
88	1	25	27	1	3	5	1	1	4	27	54	32	25	1	2	1	1	3	4	1	4
88	1	25	27	1	3	5	1	1	5	46	27	29	32	2	2	1	1	3	4	1	5
88	1	25	27	1	3	5	1	1	6	32	27	20	25	2	1	1	1	3	4	1	6
88	1	25	27	1	3	5	1	1	7	23	27	25	20	1	3	1	1	3	4	1	7
88	1	25	27	1	3	5	1	1	8	27	22	22	25	2	3	1	1	3	4	1	8
88	1	25	27	1	3	5	1	1	9	43	27	19	25	2	1	1	1	3	4	1	9
808	1	15	24	1	4	4	1	1	1	18	24	15	13	1	3	1	1	2	1	0	1
808	1	15	24	1	4	4	1	1	2	24	15	12	15	2	3	1	1	2	1	0	2
808	1	15	24	1	4	4	1	1	3	24	12	15	18	2	4	1	1	2	1	0	3
808	1	15	24	1	4	4	1	1	4	24	28	19	15	1	2	1	1	2	1	0	4
808	1	15	24	1	4	4	1	1	5	24	26	17	15	2	2	1	1	2	1	0	5
808	1	15	24	1	4	4	1	1	6	24	21	15	19	2	4	1	1	2	1	0	6
808	1	15	24	1	4	4	1	1	7	48	24	17	22	2	2	1	1	2	1	0	7
808	1	15	24	1	4	4	1	1	8	24	30	15	11	1	1	1	1	2	1	0	8
808	1	15	24	1	4	4	1	1	9	39	24	13	15	2	1	1	1	2	1	0	9
1517	1	10	13	2	3	1	1	2	1	9	13	13	10	1	4	4	1	1	2	1	1
1517	1	10	13	2	3	1	1	2	2	13	12	8	10	2	3	4	1	1	2	1	2
1517	1	10	13	2	3	1	1	2	3	13	6	7	9	2	3	4	1	1	2	1	3
1517	1	10	13	2	3	1	1	2	4	13	10	7	10	1	3	4	1	1	2	1	4
1517	1	10	13	2	3	1	1	2	5	13	25	10	8	1	1	4	1	1	2	1	5
1517	1	10	13	2	3	1	1	2	6	17	13	8	10	2	1	4	1	1	2	1	6
1517	1	10	13	2	3	1	1	2	7	13	14	12	10	1	2	4	1	1	2	1	7
1517	1	10	13	2	3	1	1	2	8	15	13	10	11	2	2	4	1	1	2	1	8
1517	1	10	13	2	3	1	1	2	9	13	6	10	11	2	4	4	1	1	2	1	9
1635	1	30	80	2	3	5	1	3	1	80	74	23	30	2	3	4	1	3	2	1	1
1635	1	30	80	2	3	5	1	3	2	75	80	34	30	1	4	4	1	3	2	1	2
1635	1	30	80	2	3	5	1	3	3	86	80	35	42	2	2	4	1	3	2	1	3
1635	1	30	80	2	3	5	1	3	4	80	82	30	23	1	1	4	1	3	2	1	4
1635	1	30	80	2	3	5	1	3	5	109	80	30	39	2	2	4	1	3	2	1	5
1635	1	30	80	2	3	5	1	3	6	124	80	30	36	2	2	4	1	3	2	1	6
1635	1	30	80	2	3	5	1	3	7	80	76	27	30	2	3	4	1	3	2	1	7
1635	1	30	80	2	3	5	1	3	8	58	80	35	30	1	4	4	1	3	2	1	8
1635	1	30	80	2	3	5	1	3	9	80	103	30	22	1	1	4	1	3	2	1	9
1944	1	12	18	1	4	4	1	1	1	18	17	12	14	1	4	1	1	2	4	0	1
1944	1	12	18	1	4	4	1	1	2	28	18	12	14	2	2	1	1	2	4	0	2
1944	1	12	18	1	4	4	1	1	3	18	10	10	12	2	3	1	1	2	4	0	3
1944	1	12	18	1	4	4	1	1	4	18	28	13	12	1	2	1	1	2	4	0	4
1944	1	12	18	1	4	4	1	1	5	20	18	14	16	1	2	1	1	2	4	0	5
1944	1	12	18	1	4	4	1	1	6	18	19	12	10	2	1	1	1	2	4	0	6
1944	1	12	18	1	4	4	1	1	7	15	18	12	9	2	3	1	1	2	4	0	7
1944	1	12	18	1	4	4	1	1	8	9	18	15	12	1	4	1	1	2	4	0	8
1944	1	12	18	1	4	4	1	1	9	18	23	12	8	1	1	1	1	2	4	0	9
1972	1	25	240	1	2	7	1	4	1	240	248	35	29	2	2	2	1	4	3	0	1
1972	1	25	240	1	2	7	1	4	2	240	247	25	20	2	1	2	1	4	3	0	2
1972	1	25	240	1	2	7	1	4	3	240	239	21	25	1	3	2	1	4	3	0	3
1972	1	25	240	1	2	7	1	4	4	208	240	32	25	1	4	2	1	4	3	0	4
1972	1	25	240	1	2	7	1	4	5	238	240	28	25	2	4	2	1	4	3	0	5
1972	1	25	240	1	2	7	1	4	6	240	232	19	25	1	3	2	1	4	3	0	6
1972	1	25	240	1	2	7	1	4	7	240	261	32	25	1	2	2	1	4	3	0	7
1972	1	25	240	1	2	7	1	4	8	240	249	29	25	2	2	2	1	4	3	0	8
1972	1	25	240	1	2	7	1	4	9	253	240	22	25	2	1	2	1	4	3	0	9
1974	1	12	14	1	3	6	1	5	1	14	23	14	12	1	2	3	1	4	3	0	1
1974	1	12	14	1	3	6	1	5	2	18	14	12	14	2	2	3	1	4	3	0	2
1974	1	12	14	1	3	6	1	5	3	14	8	9	12	1	3	3	1	4	3	0	3
1974	1	12	14	1	3	6	1	5	4	13	14	13	12	2	4	3	1	4	3	0	4
1974	1	12	14	1	3	6	1	5	5	19	14	9	12	2	1	3	1	4	3	0	5
1974	1	12	14	1	3	6	1	5	6	13	14	12	10	2	3	3	1	4	3	0	6
1974	1	12	14	1	3	6	1	5	7	7	14	14	12	2	4	3	1	4	3	0	7
1974	1	12	14	1	3	6	1	5	8	14	28	16	14	1	2	3	1	4	3	0	8
1974	1	12	14	1	3	6	1	5	9	14	29	12	9	1	1	3	1	4	3	0	9
1989	1	60	110	1	3	5	2	1	1	112	110	60	76	1	2	1	1	3	4	0	1
1989	1	60	110	1	3	5	2	1	2	110	144	79	69	1	2	1	1	3	4	0	2
1989	1	60	110	1	3	5	2	1	3	110	55	60	77	2	4	1	1	3	4	0	3
1989	1	60	110	1	3	5	2	1	4	110	127	60	48	1	1	1	1	3	4	0	4
1989	1	60	110	1	3	5	2	1	5	110	107	54	60	2	3	1	1	3	4	0	5
1989	1	60	110	1	3	5	2	1	6	124	110	60	74	1	2	1	1	3	4	0	6
1989	1	60	110	1	3	5	2	1	7	55	110	70	60	1	4	1	1	3	4	0	7
1989	1	60	110	1	3	5	2	1	8	110	88	54	60	2	3	1	1	3	4	0	8
1989	1	60	110	1	3	5	2	1	9	154	110	50	60	2	1	1	1	3	4	0	9
2174	1	10	18	2	2	6	1	4	1	18	16	10	13	2	4	2	1	4	3	1	1
2174	1	10	18	2	2	6	1	4	2	9	18	9	7	1	3	2	1	4	3	1	2
2174	1	10	18	2	2	6	1	4	3	20	18	8	10	1	1	2	1	4	3	1	3
2174	1	10	18	2	2	6	1	4	4	17	18	10	9	1	3	2	1	4	3	1	4
