bid1,dam1,bid2,dam2,bvtt,choice,id,vtt
40.0,70.0,120.0,30.0,2.0,1,1.0,0.5761749635453688
50.0,80.0,70.0,30.0,0.4,1,1.0,0.5761749635453688
10.0,60.0,60.0,20.0,1.25,1,1.0,0.5761749635453688
10.0,80.0,60.0,30.0,1.0,2,1.0,0.5761749635453688
70.0,90.0,100.0,50.0,0.75,1,1.0,0.5761749635453688
50.0,40.0,80.0,20.0,1.5,1,1.0,0.5761749635453688
60.0,70.0,80.0,10.0,0.3333333333333333,2,1.0,0.5761749635453688
70.0,50.0,90.0,20.0,0.6666666666666666,1,1.0,0.5761749635453688
70.0,40.0,120.0,20.0,2.5,1,1.0,0.5761749635453688
50.0,50.0,60.0,40.0,1.0,2,1.0,0.5761749635453688
50.0,40.0,100.0,20.0,2.5,2,2.0,3.26372845812911
50.0,50.0,60.0,10.0,0.25,2,2.0,3.26372845812911
60.0,90.0,80.0,40.0,0.4,2,2.0,3.26372845812911
30.0,80.0,40.0,50.0,0.3333333333333333,2,2.0,3.26372845812911
30.0,80.0,50.0,60.0,1.0,2,2.0,3.26372845812911
80.0,90.0,90.0,60.0,0.3333333333333333,2,2.0,3.26372845812911
50.0,80.0,90.0,70.0,4.0,1,2.0,3.26372845812911
30.0,80.0,100.0,50.0,2.3333333333333335,2,2.0,3.26372845812911
40.0,40.0,70.0,30.0,3.0,1,2.0,3.26372845812911
30.0,80.0,60.0,40.0,0.75,2,2.0,3.26372845812911
10.0,50.0,120.0,40.0,11.0,1,3.0,1.1293382620409143
10.0,50.0,60.0,20.0,1.6666666666666667,1,3.0,1.1293382620409143
10.0,70.0,30.0,30.0,0.5,2,3.0,1.1293382620409143
90.0,90.0,120.0,10.0,0.375,2,3.0,1.1293382620409143
30.0,30.0,50.0,10.0,1.0,2,3.0,1.1293382620409143
80.0,90.0,90.0,10.0,0.125,2,3.0,1.1293382620409143
10.0,90.0,60.0,80.0,5.0,1,3.0,1.1293382620409143
50.0,50.0,120.0,20.0,2.3333333333333335,1,3.0,1.1293382620409143
40.0,70.0,50.0,60.0,1.0,2,3.0,1.1293382620409143
60.0,70.0,70.0,50.0,0.5,2,3.0,1.1293382620409143
100.0,90.0,120.0,80.0,2.0,2,4.0,1.7408267650656024
10.0,90.0,90.0,30.0,1.3333333333333333,2,4.0,1.7408267650656024
70.0,40.0,100.0,30.0,3.0,1,4.0,1.7408267650656024
10.0,60.0,120.0,10.0,2.2,1,4.0,1.7408267650656024
30.0,60.0,120.0,20.0,2.25,1,4.0,1.7408267650656024
90.0,80.0,100.0,60.0,0.5,1,4.0,1.7408267650656024
30.0,50.0,40.0,30.0,0.5,2,4.0,1.7408267650656024
60.0,70.0,80.0,40.0,0.6666666666666666,2,4.0,1.7408267650656024
40.0,90.0,70.0,40.0,0.6,2,4.0,1.7408267650656024
10.0,50.0,40.0,10.0,0.75,2,4.0,1.7408267650656024
60.0,90.0,90.0,80.0,3.0,1,5.0,1.924656692989479
50.0,90.0,80.0,70.0,1.5,2,5.0,1.924656692989479
10.0,40.0,50.0,10.0,1.3333333333333333,2,5.0,1.924656692989479
40.0,80.0,80.0,40.0,1.0,2,5.0,1.924656692989479
10.0,30.0,70.0,10.0,3.0,1,5.0,1.924656692989479
40.0,80.0,70.0,40.0,0.75,2,5.0,1.924656692989479
40.0,80.0,100.0,50.0,2.0,1,5.0,1.924656692989479
30.0,80.0,60.0,10.0,0.42857142857142855,2,5.0,1.924656692989479
10.0,70.0,80.0,40.0,2.3333333333333335,1,5.0,1.924656692989479
60.0,80.0,80.0,40.0,0.5,2,5.0,1.924656692989479
30.0,70.0,50.0,10.0,0.3333333333333333,2,6.0,1.259115347914391
80.0,70.0,100.0,40.0,0.6666666666666666,2,6.0,1.259115347914391
