bid1,dam1,bid2,dam2,bvtt,choice,id,vtt
30.0,80.0,40.0,20.0,0.16666666666666666,2,1.0,1.3338739886804916
60.0,60.0,80.0,20.0,0.5,2,1.0,1.3338739886804916
10.0,80.0,120.0,30.0,2.2,1,1.0,1.3338739886804916
60.0,60.0,100.0,10.0,0.8,2,1.0,1.3338739886804916
40.0,70.0,100.0,50.0,3.0,1,1.0,1.3338739886804916
10.0,50.0,30.0,40.0,2.0,1,1.0,1.3338739886804916
60.0,40.0,100.0,30.0,4.0,1,1.0,1.3338739886804916
50.0,40.0,90.0,10.0,1.3333333333333333,1,1.0,1.3338739886804916
60.0,60.0,70.0,20.0,0.25,2,1.0,1.3338739886804916
40.0,80.0,80.0,70.0,4.0,1,1.0,1.3338739886804916
10.0,40.0,40.0,20.0,1.5,2,2.0,5.113398384518159
40.0,80.0,60.0,60.0,1.0,2,2.0,5.113398384518159
10.0,90.0,90.0,30.0,1.3333333333333333,2,2.0,5.113398384518159
50.0,90.0,90.0,60.0,1.3333333333333333,2,2.0,5.113398384518159
10.0,30.0,100.0,10.0,4.5,1,2.0,5.113398384518159
30.0,80.0,100.0,10.0,1.0,2,2.0,5.113398384518159
50.0,60.0,120.0,20.0,1.75,2,2.0,5.113398384518159
50.0,80.0,120.0,10.0,1.0,2,2.0,5.113398384518159
50.0,80.0,120.0,10.0,1.0,2,2.0,5.113398384518159
10.0,60.0,70.0,30.0,2.0,2,2.0,5.113398384518159
10.0,90.0,50.0,30.0,0.6666666666666666,2,3.0,1.7588657323259071
40.0,80.0,60.0,20.0,0.3333333333333333,2,3.0,1.7588657323259071
30.0,60.0,100.0,20.0,1.75,2,3.0,1.7588657323259071
30.0,70.0,40.0,30.0,0.25,2,3.0,1.7588657323259071
10.0,90.0,30.0,70.0,1.0,2,3.0,1.7588657323259071
50.0,40.0,100.0,20.0,2.5,2,3.0,1.7588657323259071
50.0,80.0,90.0,60.0,2.0,2,3.0,1.7588657323259071
40.0,80.0,120.0,40.0,2.0,1,3.0,1.7588657323259071
10.0,80.0,30.0,10.0,0.2857142857142857,2,3.0,1.7588657323259071
50.0,70.0,70.0,20.0,0.4,2,3.0,1.7588657323259071
10.0,40.0,90.0,20.0,4.0,2,4.0,2.3878977647503543
30.0,80.0,40.0,10.0,0.14285714285714285,2,4.0,2.3878977647503543
50.0,90.0,80.0,40.0,0.6,2,4.0,2.3878977647503543
30.0,60.0,70.0,20.0,1.0,2,4.0,2.3878977647503543
50.0,30.0,90.0,20.0,4.0,1,4.0,2.3878977647503543
10.0,60.0,30.0,20.0,0.5,1,4.0,2.3878977647503543
10.0,60.0,100.0,20.0,2.25,2,4.0,2.3878977647503543
10.0,20.0,80.0,10.0,7.0,1,4.0,2.3878977647503543
70.0,80.0,80.0,20.0,0.16666666666666666,2,4.0,2.3878977647503543
10.0,60.0,40.0,20.0,0.75,2,4.0,2.3878977647503543
10.0,90.0,100.0,80.0,9.0,1,5.0,2.617784492510925
40.0,90.0,100.0,80.0,6.0,1,5.0,2.617784492510925
70.0,50.0,100.0,30.0,1.5,2,5.0,2.617784492510925
40.0,70.0,90.0,10.0,0.8333333333333334,2,5.0,2.617784492510925
10.0,70.0,100.0,10.0,1.5,1,5.0,2.617784492510925
60.0,80.0,120.0,60.0,3.0,1,5.0,2.617784492510925
60.0,80.0,120.0,60.0,3.0,1,5.0,2.617784492510925
90.0,30.0,100.0,20.0,1.0,2,5.0,2.617784492510925
70.0,90.0,120.0,30.0,0.8333333333333334,2,5.0,2.617784492510925
