bid1,dam1,bid2,dam2,bvtt,choice,id,vtt
40.0,90.0,120.0,20.0,1.1428571428571428,2,1.0,2.2880874817726844
10.0,60.0,90.0,20.0,2.0,1,1.0,2.2880874817726844
30.0,90.0,70.0,20.0,0.5714285714285714,2,1.0,2.2880874817726844
80.0,60.0,120.0,40.0,2.0,2,1.0,2.2880874817726844
60.0,60.0,100.0,20.0,1.0,1,1.0,2.2880874817726844
70.0,80.0,80.0,10.0,0.14285714285714285,2,1.0,2.2880874817726844
40.0,80.0,50.0,40.0,0.25,2,1.0,2.2880874817726844
40.0,90.0,90.0,70.0,2.5,1,1.0,2.2880874817726844
10.0,60.0,120.0,10.0,2.2,2,1.0,2.2880874817726844
30.0,50.0,40.0,40.0,1.0,2,1.0,2.2880874817726844
70.0,30.0,90.0,20.0,2.0,2,2.0,3.631864229064555
10.0,50.0,70.0,20.0,2.0,2,2.0,3.631864229064555
10.0,70.0,120.0,60.0,11.0,1,2.0,3.631864229064555
30.0,50.0,120.0,10.0,2.25,2,2.0,3.631864229064555
40.0,90.0,60.0,20.0,0.2857142857142857,2,2.0,3.631864229064555
60.0,90.0,70.0,70.0,0.5,2,2.0,3.631864229064555
10.0,70.0,90.0,50.0,4.0,2,2.0,3.631864229064555
70.0,60.0,80.0,50.0,1.0,2,2.0,3.631864229064555
10.0,90.0,30.0,40.0,0.4,2,2.0,3.631864229064555
50.0,40.0,80.0,30.0,3.0,2,2.0,3.631864229064555
60.0,90.0,90.0,70.0,1.5,2,3.0,2.564669131020457
40.0,70.0,90.0,20.0,1.0,2,3.0,2.564669131020457
60.0,80.0,120.0,30.0,1.2,2,3.0,2.564669131020457
50.0,70.0,120.0,30.0,1.75,2,3.0,2.564669131020457
40.0,30.0,90.0,20.0,5.0,1,3.0,2.564669131020457
30.0,90.0,120.0,20.0,1.2857142857142858,2,3.0,2.564669131020457
10.0,70.0,100.0,10.0,1.5,2,3.0,2.564669131020457
100.0,70.0,120.0,60.0,2.0,1,3.0,2.564669131020457
10.0,90.0,100.0,60.0,3.0,2,3.0,2.564669131020457
40.0,80.0,80.0,50.0,1.3333333333333333,2,3.0,2.564669131020457
50.0,50.0,70.0,40.0,2.0,2,4.0,2.870413382532801
50.0,80.0,70.0,40.0,0.5,2,4.0,2.870413382532801
10.0,70.0,90.0,40.0,2.6666666666666665,2,4.0,2.870413382532801
100.0,20.0,120.0,10.0,2.0,2,4.0,2.870413382532801
30.0,80.0,70.0,70.0,4.0,1,4.0,2.870413382532801
30.0,40.0,60.0,10.0,1.0,1,4.0,2.870413382532801
100.0,60.0,120.0,40.0,1.0,2,4.0,2.870413382532801
30.0,30.0,50.0,20.0,2.0,2,4.0,2.870413382532801
10.0,80.0,70.0,60.0,3.0,1,4.0,2.870413382532801
10.0,90.0,60.0,70.0,2.5,2,4.0,2.870413382532801
40.0,80.0,100.0,50.0,2.0,2,5.0,2.9623283464947394
30.0,50.0,60.0,30.0,1.5,2,5.0,2.9623283464947394
30.0,60.0,50.0,30.0,0.6666666666666666,2,5.0,2.9623283464947394
60.0,80.0,120.0,20.0,1.0,2,5.0,2.9623283464947394
50.0,90.0,60.0,10.0,0.125,2,5.0,2.9623283464947394
70.0,90.0,80.0,60.0,0.3333333333333333,2,5.0,2.9623283464947394
40.0,40.0,80.0,20.0,2.0,1,5.0,2.9623283464947394
10.0,20.0,90.0,10.0,8.0,1,5.0,2.9623283464947394
50.0,40.0,70.0,10.0,0.6666666666666666,2,5.0,2.9623283464947394
100.0,50.0,120.0,30.0,1.0,2,5.0,2.9623283464947394
30.0,90.0,70.0,60.0,1.3333333333333333,1,6.0,2.6295576739571955
30.0,60.0,60.0,10.0,0.6,2,6.0,2.6295576739571955
60.0,50.0,120.0,30.0,3.0,2,6.0,2.6295576739571955
10.0,60.0,50.0,40.0,2.0,2,6.0,2.6295576739571955
40.0,80.0,90.0,10.0,0.7142857142857143,2,6.0,2.6295576739571955
90.0,50.0,120.0,30.0,1.5,2,6.0,2.6295576739571955
60.0,30.0,80.0,20.0,2.0,2,6.0,2.6295576739571955
30.0,50.0,40.0,30.0,0.5,2,6.0,2.6295576739571955
10.0,50.0,30.0,10.0,0.5,2,6.0,2.6295576739571955
30.0,80.0,50.0,10.0,0.2857142857142857,2,6.0,2.6295576739571955
70.0,50.0,120.0,10.0,1.25,2,7.0,2.3161036491085283
10.0,60.0,100.0,20.0,2.25,1,7.0,2.3161036491085283
50.0,70.0,60.0,10.0,0.16666666666666666,2,7.0,2.3161036491085283
50.0,40.0,90.0,30.0,4.0,1,7.0,2.3161036491085283
40.0,70.0,90.0,10.0,0.8333333333333334,1,7.0,2.3161036491085283
10.0,60.0,70.0,30.0,2.0,1,7.0,2.3161036491085283
90.0,90.0,120.0,80.0,3.0,2,7.0,2.3161036491085283
10.0,40.0,90.0,30.0,8.0,1,7.0,2.3161036491085283
70.0,60.0,90.0,50.0,2.0,2,7.0,2.3161036491085283
30.0,90.0,60.0,80.0,3.0,1,7.0,2.3161036491085283
80.0,40.0,90.0,10.0,0.3333333333333333,2,8.0,3.32444640109652
50.0,50.0,80.0,30.0,1.5,2,8.0,3.32444640109652
100.0,90.0,120.0,60.0,0.6666666666666666,2,8.0,3.32444640109652
90.0,90.0,100.0,30.0,0.16666666666666666,2,8.0,3.32444640109652
60.0,80.0,90.0,20.0,0.5,2,8.0,3.32444640109652
